year,max_P_inches
1960,1.24
1961,3.21
1962,1.02
1963,2.69
1964,0.98
1965,2.71
1966,0.95
1967,2.12
1968,1.51
1969,1.36
1970,2.27
1971,1.62
1972,0.71
1973,0.81
1974,2.85
1975,2.15
1976,1.03
1977,4.43
1978,1.85
1979,1.99
1980,1.15
1981,1.32
1982,3.17
1983,1.87
1984,2.03
1985,1.46
1986,0.94
1987,1.29
1988,1.62
1989,1.12
1990,3.48
1991,0.95
1992,2.49
1993,1.03
1994,1.81
1995,1.52
1996,1.35
1997,4.63
1998,1.83
1999,2.41
2000,0.82
2001,1.05
2002,1.24
2003,3.30
2004,1.06
2005,1.50
2006,1.30
2007,2.19
2008,1.75
2009,2.10
2010,1.14
2011,1.72
2012,1.92
2013,1.99
2014,1.97
2015,1.62
2016,1.44
2017,2.77
2018,1.74
2019,1.03
2020,1.30
2021,1.78
2022,1.97
2023,2.45
2024,1.63
